Date,AGG,GLD,SPY,USO,UUP
2014-12-30,81.20330810546875,115.19999694824219,171.9220428466797,162.32000732421875,19.957719802856445
2014-12-31,81.22551727294922,113.58000183105469,170.21612548828125,162.8800048828125,20.024551391601562
2015-01-02,81.45413208007812,114.08000183105469,170.125,159.1199951171875,20.21669578552246
2015-01-05,81.63113403320312,115.80000305175781,167.0526123046875,150.32000732421875,20.258464813232422
2015-01-06,81.83760833740234,117.12000274658203,165.4791717529297,144.39999389648438,20.300233840942383
2015-01-07,81.82291412353516,116.43000030517578,167.5412139892578,146.9600067138672,20.37541961669922
2015-01-08,81.6975326538086,115.94000244140625,170.5142059326172,148.39999389648438,20.458961486816406
2015-01-09,81.89665222167969,117.26000213623047,169.14779663085938,146.24000549316406,20.3670654296875
2015-01-12,81.96305084228516,118.55999755859375,167.82281494140625,139.27999877929688,20.3670654296875
2015-01-13,81.98516845703125,118.16000366210938,167.35076904296875,140.9600067138672,20.42554473876953
2015-01-14,82.1843032836914,117.97000122070312,166.34042358398438,146.16000366210938,20.38377571105957
2015-01-15,82.56053924560547,120.94000244140625,164.81661987304688,139.60000610351562,20.450605392456055
2015-01-16,82.24336242675781,122.5199966430664,166.9781036376953,146.63999938964844,20.54250144958496
2015-01-20,82.38349151611328,124.19999694824219,167.3341522216797,139.83999633789062,20.62604331970215
2015-01-21,82.23597717285156,124.2300033569336,168.17889404296875,142.16000366210938,20.567564010620117
2015-01-22,82.19173431396484,125.2300033569336,170.679931640625,139.27999877929688,20.876659393310547
2015-01-23,82.39823150634766,124.2300033569336,169.74407958984375,136.0,21.060449600219727
2015-01-26,82.36138916015625,122.98999786376953,170.14157104492188,134.9600067138672,21.02703285217285
2015-01-27,82.31710052490234,124.4000015258789,167.89727783203125,137.67999267578125,20.826536178588867
2015-01-28,82.66374969482422,123.41999816894531,165.74407958984375,132.47999572753906,20.951847076416016
2015-01-29,82.59745788574219,120.76000213623047,167.2761993408203,133.44000244140625,20.968555450439453
2015-01-30,82.89247131347656,123.44999694824219,165.17269897460938,142.55999755859375,20.993616104125977
2015-02-02,82.88951873779297,122.41999816894531,167.21820068359375,148.9600067138672,20.951847076416016
2015-02-03,82.57181549072266,121.05000305175781,169.63641357421875,156.9600067138672,20.709579467773438
2015-02-04,82.69742584228516,121.58000183105469,168.99041748046875,146.24000549316406,20.834890365600586
2015-02-05,82.5274887084961,121.79000091552734,170.6964569091797,152.24000549316406,20.684518814086914
2015-02-06,82.04731750488281,118.63999938964844,170.2244110107422,155.75999450683594,20.935136795043945
2015-02-09,82.03254699707031,119.16999816894531,169.4625701904297,158.16000366210938,20.91843032836914
2015-02-10,81.94387817382812,118.47000122070312,171.26785278320312,151.52000427246094,20.94349479675293
2015-02-11,81.90692901611328,117.06999969482422,171.36721801757812,148.0800018310547,21.018680572509766
2015-02-12,81.92173767089844,117.33999633789062,173.0152130126953,153.44000244140625,20.81818199157715
2015-02-13,81.82569885253906,117.9800033569336,173.7273712158203,156.9600067138672,20.809829711914062
2015-02-17,81.49320220947266,116.01000213623047,174.00070190429688,158.32000732421875,20.784765243530273
2015-02-18,81.72221374511719,116.33999633789062,174.01727294921875,154.0800018310547,20.793121337890625
2015-02-19,81.65576934814453,115.94000244140625,173.89305114746094,152.8000030517578,20.86830711364746
2015-02-20,81.6705551147461,115.27999877929688,174.9365234375,149.1999969482422,20.851598739624023
2015-02-23,81.8183364868164,115.43000030517578,174.91165161132812,144.8800048828125,20.910076141357422
2015-02-24,82.18025207519531,115.26000213623047,175.4085235595703,144.32000732421875,20.86830711364746
2015-02-25,82.23934173583984,115.69999694824219,175.25941467285156,149.1999969482422,20.826536178588867
2015-02-26,81.94387817382812,116.06999969482422,175.05239868164062,144.24000549316406,21.04374122619629
2015-02-27,82.15071868896484,116.16000366210938,174.4561767578125,144.8000030517578,21.052095413208008
2015-03-02,81.73334503173828,115.68000030517578,175.5576171875,146.55999755859375,21.09386444091797
2015-03-03,81.6297607421875,115.47000122070312,174.83712768554688,147.9199981689453,21.08551025390625
2015-03-04,81.67417907714844,115.11000061035156,174.10006713867188,152.0800018310547,21.194114685058594
2015-03-05,81.71117401123047,115.0,174.29052734375,149.67999267578125,21.294361114501953
2015-03-06,81.17835235595703,111.86000061035156,171.8392791748047,145.9199981689453,21.553333282470703
2015-03-09,81.38555145263672,111.97000122070312,172.55148315429688,146.8000030517578,21.553333282470703
2015-03-10,81.57791900634766,111.41999816894531,169.75234985351562,143.27999877929688,21.778894424438477
2015-03-11,81.74081420898438,110.75,169.35484313964844,142.16000366210938,22.021160125732422
2015-03-12,81.80736541748047,110.72000122070312,171.50799560546875,139.52000427246094,21.904203414916992
2015-03-13,81.65193176269531,110.87999725341797,170.45626831054688,134.39999389648438,22.129764556884766
2015-03-16,81.82962036132812,110.80999755859375,172.73362731933594,130.8000030517578,21.962684631347656
2015-03-17,81.81475830078125,110.20999908447266,172.22018432617188,127.68000030517578,21.97103500366211
2015-03-18,82.41413116455078,112.37000274658203,174.29052734375,134.0800018310547,21.53662872314453
2015-03-19,82.12554931640625,112.29000091552734,173.49559020996094,128.63999938964844,21.8624324798584
2015-03-20,82.37716674804688,113.56999969482422,175.0269012451172,131.44000244140625,21.57004165649414
2015-03-23,82.3919677734375,114.29000091552734,174.6859130859375,134.24000549316406,21.336132049560547
2015-03-24,82.61397552490234,114.56999969482422,173.7042999267578,134.32000732421875,21.40296173095703
2015-03-25,82.45857238769531,114.7300033569336,171.1588897705078,138.8800048828125,21.344482421875
2015-03-26,82.16255187988281,115.4800033569336,170.75131225585938,145.67999267578125,21.4196720123291
2015-03-27,82.28092956542969,115.05999755859375,171.14227294921875,137.1199951171875,21.436378479003906
2015-03-30,82.31797790527344,113.75,173.2301788330078,137.83999633789062,21.603458404541016
2015-03-31,82.45857238769531,113.66000366210938,171.71624755859375,134.72000122070312,21.636873245239258
2015-04-01,82.72623443603516,115.5999984741211,171.10899353027344,140.63999938964844,21.64522933959961
2015-04-02,82.61499786376953,115.27999877929688,171.72454833984375,140.47999572753906,21.478147506713867
2015-04-06,82.66692352294922,116.69000244140625,172.88084411621094,147.44000244140625,21.31106948852539
2015-04-07,82.6817398071289,116.11000061035156,172.42327880859375,152.47999572753906,21.553333282470703
2015-04-08,82.68917846679688,115.47000122070312,173.005615234375,144.55999755859375,21.58675193786621
2015-04-09,82.48155212402344,114.66999816894531,173.77090454101562,144.24000549316406,21.81231117248535
2015-04-10,82.48155212402344,115.97000122070312,174.71913146972656,147.27999877929688,21.8624324798584
2015-04-13,82.57052612304688,115.13999938964844,173.92889404296875,148.0,21.895849227905273
2015-04-14,82.65951538085938,114.44000244140625,174.26171875,150.55999755859375,21.728771209716797
2015-04-15,82.77067565917969,115.43000030517578,175.04356384277344,157.67999267578125,21.628522872924805
2015-04-16,82.72623443603516,115.02999877929688,174.99371337890625,159.52000427246094,21.461444854736328
2015-04-17,82.79296112060547,115.5999984741211,172.9806671142578,158.72000122070312,21.411317825317383
2015-04-20,82.73359680175781,114.72000122070312,174.56112670898438,159.1199951171875,21.53662872314453
2015-04-21,82.64466857910156,115.37999725341797,174.3531494140625,155.60000610351562,21.561689376831055
2015-04-22,82.40001678466797,113.83000183105469,175.20999145507812,154.8800048828125,21.561689376831055
2015-04-23,82.52606201171875,114.66000366210938,175.65086364746094,158.0800018310547,21.40296173095703
2015-04-24,82.66692352294922,113.05000305175781,176.0584259033203,157.36000061035156,21.31942367553711
2015-04-27,82.69656372070312,115.33000183105469,175.326416015625,156.16000366210938,21.25259017944336
2015-04-28,82.37776947021484,116.33000183105469,175.88372802734375,156.8000030517578,21.118928909301758
2015-04-29,82.19243621826172,115.51000213623047,175.16004943847656,160.9600067138672,20.935136795043945
2015-04-30,82.19243621826172,113.47000122070312,173.40487670898438,164.0800018310547,20.809829711914062
2015-05-01,81.95915985107422,113.08000183105469,175.28482055664062,163.1999969482422,20.910076141357422
2015-05-04,81.8031997680664,114.0999984741211,175.78395080566406,162.24000549316406,20.968555450439453
2015-05-05,81.7288818359375,114.41999816894531,173.77090454101562,166.0800018310547,20.910076141357422
2015-05-06,81.45410919189453,114.36000061035156,173.0554962158203,166.55999755859375,20.676162719726562
2015-05-07,81.6546401977539,113.41999816894531,173.74594116210938,161.60000610351562,20.784765243530273
2015-05-08,81.92207336425781,113.97000122070312,176.03341674804688,163.36000061035156,20.809829711914062
2015-05-11,81.4020767211914,113.52999877929688,175.1932830810547,163.0399932861328,20.876659393310547
2015-05-12,81.3946533203125,114.5,174.6692657470703,165.9199981689453,20.75970458984375
2015-05-13,81.38721466064453,116.55000305175781,174.70252990722656,164.8800048828125,20.575916290283203
2015-05-14,81.51351165771484,117.18000030517578,176.52430725097656,164.24000549316406,20.509082794189453
2015-05-15,81.85514831542969,117.52999877929688,176.715576171875,164.16000366210938,20.475669860839844
2015-05-18,81.54317474365234,117.5199966430664,177.2646026611328,163.52000427246094,20.676162719726562
2015-05-19,81.26097869873047,115.88999938964844,177.2063751220703,157.0399932861328,20.91843032836914
2015-05-20,81.38721466064453,116.08000183105469,177.08157348632812,158.72000122070312,20.960201263427734
2015-05-21,81.63977813720703,115.69000244140625,177.5973358154297,164.0,20.926782608032227
2015-05-22,81.55062866210938,115.5999984741211,177.173095703125,162.0,21.118928909301758
2015-05-26,81.7511978149414,113.91000366210938,175.2682342529297,157.52000427246094,21.35283851623535
2015-05-27,81.8328628540039,113.88999938964844,176.93185424804688,155.83999633789062,21.361194610595703
2015-05-28,81.8031997680664,114.0199966430664,176.7322235107422,156.47999572753906,21.30271339416504
2015-05-29,81.8328628540039,114.0999984741211,175.63421630859375,162.47999572753906,21.269296646118164
2015-06-01,81.6066665649414,114.0,175.9918975830078,162.8800048828125,21.394609451293945
2015-06-02,81.28665924072266,114.45999908447266,175.81719970703125,165.44000244140625,21.068801879882812
2015-06-03,80.96672058105469,113.63999938964844,176.28302001953125,161.36000061035156,20.926782608032227
2015-06-04,81.13782501220703,112.83999633789062,174.7940673828125,157.27999877929688,20.951847076416016
2015-06-05,80.78064727783203,112.23999786376953,174.4945526123047,159.1999969482422,21.13563346862793
2015-06-08,80.89972686767578,112.56999969482422,173.42156982421875,157.67999267578125,20.893369674682617
2015-06-09,80.66899871826172,112.81999969482422,173.39659118652344,161.67999267578125,20.86830711364746
2015-06-10,80.4680404663086,113.77999877929688,175.4761505126953,165.1199951171875,20.7513484954834
2015-06-11,80.89972686767578,113.26000213623047,176.04171752929688,163.9199981689453,20.809829711914062
2015-06-12,80.8029556274414,113.2300033569336,174.69418334960938,162.16000366210938,20.793121337890625
2015-06-15,80.89972686767578,113.7300033569336,173.94554138183594,161.1999969482422,20.77641487121582
2015-06-16,81.03367614746094,113.31999969482422,174.8938751220703,162.0800018310547,20.81818199157715
2015-06-17,81.04108428955078,113.8499984741211,175.17666625976562,161.67999267578125,20.6343936920166
2015-06-18,81.0187759399414,115.31999969482422,176.99838256835938,162.8800048828125,20.567564010620117
2015-06-19,81.27177429199219,115.12000274658203,176.21266174316406,160.16000366210938,20.617687225341797
2015-06-22,80.86996459960938,113.63999938964844,177.11546325683594,161.27999877929688,20.659454345703125
2015-06-23,80.68391418457031,112.88999938964844,177.24078369140625,163.75999450683594,20.901721954345703
2015-06-24,80.81036376953125,112.58999633789062,175.95355224609375,161.67999267578125,20.859952926635742
2015-06-25,80.72112274169922,112.44000244140625,175.41860961914062,159.83999633789062,20.826536178588867
2015-06-26,80.52761840820312,112.55999755859375,175.3851776123047,159.83999633789062,20.8850154876709
2015-06-29,81.00387573242188,113.06999969482422,171.70729064941406,156.0800018310547,20.76805877685547
2015-06-30,80.9517822265625,112.37000274658203,172.06671142578125,159.0399932861328,20.910076141357422
2015-07-01,80.74749755859375,111.9800033569336,173.44590759277344,152.8000030517578,21.07715606689453
2015-07-02,80.85929107666016,111.76000213623047,173.28709411621094,151.44000244140625,21.02703285217285
2015-07-06,81.15011596679688,112.05999755859375,172.79391479492188,141.83999633789062,21.068801879882812
2015-07-07,81.26195526123047,110.76000213623047,173.88055419921875,142.0800018310547,21.13563346862793
2015-07-08,81.45585632324219,111.08999633789062,170.9633331298828,139.0399932861328,21.052095413208008
2015-07-09,81.1576156616211,111.36000061035156,171.27264404296875,141.67999267578125,21.118928909301758
2015-07-10,80.81459045410156,111.48999786376953,173.42919921875,141.36000061035156,20.968555450439453
2015-07-13,80.69527435302734,110.98999786376953,175.34332275390625,140.0800018310547,21.17740249633789
2015-07-14,80.82950592041016,110.73999786376953,176.10400390625,141.75999450683594,21.14398956298828
2015-07-15,81.0457534790039,110.16000366210938,176.04547119140625,137.83999633789062,21.235881805419922
2015-07-16,81.11284637451172,109.76000213623047,177.4581298828125,136.39999389648438,21.35283851623535
2015-07-17,81.1202621459961,108.6500015258789,177.6085968017578,135.9199981689453,21.40296173095703
2015-07-20,80.97860717773438,105.69999694824219,177.70057678222656,133.52000427246094,21.411317825317383
2015-07-21,81.11284637451172,105.37000274658203,176.99838256835938,135.27999877929688,21.26094627380371
2015-07-22,81.15011596679688,104.80000305175781,176.68080139160156,130.72000122070312,21.31106948852539
2015-07-23,81.38126373291016,104.33000183105469,175.68605041503906,129.1199951171875,21.227529525756836
2015-07-24,81.36637878417969,105.3499984741211,173.8638458251953,128.24000549316406,21.26094627380371
2015-07-27,81.47077178955078,104.86000061035156,172.85243225097656,125.19999694824219,21.09386444091797
2015-07-28,81.38874816894531,105.0199966430664,174.97555541992188,126.80000305175781,21.11057472229004
2015-07-29,81.32167053222656,105.16999816894531,176.17919921875,129.9199981689453,21.227529525756836
2015-07-30,81.32909393310547,104.2699966430664,176.22105407714844,128.8000030517578,21.31106948852539
2015-07-31,81.64973449707031,104.93000030517578,175.95355224609375,124.72000122070312,21.24423599243164
2015-08-03,81.7342300415039,104.0999984741211,175.3600616455078,120.80000305175781,21.294361114501953
2015-08-04,81.49502563476562,104.30999755859375,175.0173797607422,121.76000213623047,21.40296173095703
2015-08-05,81.34564971923828,103.93000030517578,175.5941162109375,120.23999786376953,21.394609451293945
2015-08-06,81.44278717041016,104.38999938964844,174.1564483642578,118.95999908447266,21.35283851623535
2015-08-07,81.5847396850586,104.6500015258789,173.8220672607422,116.4800033569336,21.31942367553711
2015-08-10,81.48015594482422,105.72000122070312,176.01205444335938,119.12000274658203,21.219175338745117
2015-08-11,81.7491226196289,106.26000213623047,174.4239044189453,115.91999816894531,21.219175338745117
2015-08-12,81.69678497314453,107.75,174.63282775878906,115.5199966430664,20.993616104125977
2015-08-13,81.52495574951172,106.86000061035156,174.41552734375,112.72000122070312,21.02703285217285
2015-08-14,81.48757934570312,106.8499984741211,175.05081176757812,111.91999816894531,21.08551025390625
2015-08-17,81.62955474853516,107.12999725341797,176.02874755859375,111.12000274658203,21.118928909301758
2015-08-18,81.48015594482422,107.11000061035156,175.51889038085938,112.4000015258789,21.169050216674805
2015-08-19,81.7342300415039,108.55000305175781,174.1313018798828,107.44000244140625,21.03538703918457
2015-08-20,81.86111450195312,110.44000244140625,170.4952392578125,106.95999908447266,20.91843032836914
2015-08-21,82.00311279296875,111.12999725341797,165.3629150390625,105.83999633789062,20.717933654785156
2015-08-24,81.97322845458984,110.52999877929688,158.39996337890625,99.91999816894531,20.37541961669922
2015-08-25,81.7790298461914,109.16000366210938,156.53604125976562,101.83999633789062,20.517440795898438
2015-08-26,81.39802551269531,107.66999816894531,162.54600524902344,102.16000366210938,20.76805877685547
2015-08-27,81.51004028320312,107.7300033569336,166.56654357910156,111.5999984741211,20.901721954345703
2015-08-28,81.43529510498047,108.69999694824219,166.57492065429688,119.04000091552734,20.968555450439453
2015-08-31,81.3755874633789,108.81999969482422,165.2291717529297,127.12000274658203,20.935136795043945
2015-09-01,81.61662292480469,109.19999694824219,160.2974090576172,118.4800033569336,20.809829711914062
2015-09-02,81.51181030273438,108.62000274658203,163.34007263183594,120.72000122070312,20.91843032836914
2015-09-03,81.63158416748047,107.83999633789062,163.45709228515625,122.72000122070312,21.018680572509766
2015-09-04,81.8037338256836,107.48999786376953,160.98284912109375,120.63999938964844,20.993616104125977
2015-09-08,81.6091537475586,107.5199966430664,165.0285186767578,120.16000366210938,20.91843032836914
2015-09-09,81.63906860351562,106.12999725341797,162.82179260253906,116.08000183105469,20.91843032836914
2015-09-10,81.54924774169922,106.37999725341797,163.70785522460938,119.44000244140625,20.834890365600586
