date,return,turnover,dominant_regime,effective_positions,weight_AGG,weight_GLD,weight_SPY,weight_USO,weight_UUP,template_prob_0,template_prob_1,template_prob_2,template_prob_3,template_prob_4,template_prob_5,n_states
2023-06-14,-0.0014555541120743422,0.0014055418566923522,1,5,0.2,0.2,0.2,0.2,0.2,0.0,0.9909478749092817,0.0,0.0,0.00905212509071827,0.0,4
2023-06-15,0.009162694154219332,0.0038526127086637024,1,5,0.2,0.2,0.2,0.2,0.2,0.0,0.9999999999963214,0.0,0.0,3.678603184692052e-12,0.0,4
2023-06-16,0.00167736988936964,0.002635456965228919,4,5,0.2,0.2,0.2,0.2,0.2,0.0,0.024966627190176966,0.0,0.0,0.9750333728101301,0.0,4
2023-06-20,-0.0035281713016573233,0.002347045694745087,1,5,0.2,0.2,0.2,0.2,0.2,5.8518e-319,0.9776071399135975,0.0,0.0,0.02239286008628227,0.0,4
2023-06-21,0.001559275601568633,0.003186876508739278,1,5,0.2,0.2,0.2,0.2,0.2,8.207378348062737e-37,0.9886373111517595,0.0,0.0,0.011362688848240583,0.0,4
2023-06-22,-0.009503847690212732,0.006055165966956419,1,5,0.2,0.2,0.2,0.2,0.2,9.286543174893377e-20,0.9934012952643283,0.0,0.0,0.006598704735671626,0.0,4
2023-06-23,0.0003650190536924393,0.0019813585957349777,1,5,0.2,0.2,0.2,0.2,0.2,1.99094e-319,0.9999999999999999,0.0,0.0,1.0552130019377942e-21,0.0,4
2023-06-26,0.0005519628569392587,0.001250742385915854,1,5,0.2,0.2,0.2,0.2,0.2,4.758564876615416e-286,0.9861287100576188,0.0,0.0,0.013871289942381385,0.0,4
2023-06-27,-0.004233721610319918,0.0038275082114051506,1,5,0.2,0.2,0.2,0.2,0.2,2.2451902802666416e-58,0.9911972878912476,0.0,0.0,0.008802712108752482,0.0,4
2023-06-28,0.005088231394977427,0.002939174966878025,0,5,0.2,0.2,0.2,0.2,0.2,0.9897932244915638,0.005103401298288513,0.0,0.0,0.005103374210147756,0.0,4
2023-06-29,0.0012692208360610023,0.002268419143354225,1,5,0.2,0.2,0.2,0.2,0.2,2.2431412284430237e-252,0.9848443936514614,0.0,0.0,0.015155606348538719,0.0,4
2023-06-30,0.005166413923167746,0.002436973850762636,1,5,0.2,0.2,0.2,0.2,0.2,8.334979883954758e-58,0.9913129538350717,0.0,0.0,0.008687046164928295,0.0,4
2023-07-03,-7.419002817110612e-05,0.0007097400350312977,1,5,0.2,0.2,0.2,0.2,0.2,0.013630244007317304,0.9727439480113783,0.0,0.0,0.013625807981304522,0.0,4
2023-07-05,0.002878803806558672,0.0036479271581884437,0,5,0.2,0.2,0.2,0.2,0.2,0.5333330876797818,0.33333348929514284,0.0,0.0,0.13333342302507545,0.0,4
2023-07-06,-0.004550491741384288,0.001052879110741048,4,5,0.2,0.2,0.2,0.2,0.2,1.5694775838053075e-168,0.019250086346017502,0.0,0.0,0.9807499136539823,0.0,4
2023-07-07,0.0036662332315338555,0.004369342884813526,0,5,0.2,0.2,0.2,0.2,0.2,0.9898993030781685,0.0050503434449924505,0.0,0.0,0.005050353477170142,0.0,4
2023-07-10,-0.00021938626759290263,0.0013517217462709619,0,5,0.2,0.2,0.2,0.2,0.2,0.9942185582987076,8.305672377189097e-16,0.0,0.0,0.005781441701369146,0.0,4
2023-07-11,0.0064493559883394445,0.0032244941895626794,0,5,0.2,0.2,0.2,0.2,0.2,0.9942185957246782,2.4148849313725804e-18,0.0,0.0,0.0057814042753220355,0.0,4
2023-07-12,0.0060422243817995986,0.0035485142457392094,1,5,0.2,0.2,0.2,0.2,0.2,2.784300993750285e-57,0.9915892040258505,0.0,0.0,0.008410795974149473,0.0,4
2023-07-13,0.005157208248249035,0.003290430100992739,0,5,0.2,0.2,0.2,0.2,0.2,0.764705671543332,0.058823637236611666,0.0,0.0,0.17647069122005646,0.0,4
2023-07-14,-0.006103433036418782,0.0035019055181887554,0,5,0.2,0.2,0.2,0.2,0.2,0.989131301138253,1.471714795672362e-33,0.0,0.0,0.010868698861747036,0.0,4
2023-07-17,-0.0018121111013754466,0.002283690930702617,0,5,0.2,0.2,0.2,0.2,0.2,0.9943820102635523,0.005617989736447719,0.0,0.0,2.852380993396402e-95,0.0,4
2023-07-18,0.0081698678092315,0.003118614446152801,0,5,0.2,0.2,0.2,0.2,0.2,0.9896934695221484,3.533134358108098e-109,0.0,0.0,0.010306530477851608,0.0,4
2023-07-19,0.001086498454165952,0.0011970351208762248,0,5,0.2,0.2,0.2,0.2,0.2,0.9950695324416832,1.8626720468447177e-109,0.0,0.0,0.004930467558316797,0.0,4
2023-07-20,-0.0011736385583247964,0.002684296559386165,0,5,0.2,0.2,0.2,0.2,0.2,0.9843700122543455,1.1073181807486884e-36,0.0,0.0,0.015629987745654553,0.0,4
2023-07-21,0.0028458835542247486,0.002183655486466568,0,5,0.2,0.2,0.2,0.2,0.2,0.9942857144108997,6.752006438465343e-79,0.0,0.0,0.005714285589100215,0.0,4
2023-07-24,0.00524824842366387,0.0038451468628048907,1,5,0.2,0.2,0.2,0.2,0.2,2.677117572429114e-208,0.9884940673013134,0.0,0.0,0.011505932698686602,0.0,4
2023-07-25,0.0025420831561848265,0.001455280015170743,1,5,0.2,0.2,0.2,0.2,0.2,6.005529557584862e-153,0.9934640459079277,0.0,0.0,0.006535954092072344,0.0,4
2023-07-26,-0.0003236591115007847,0.001850901891417553,0,5,0.2,0.2,0.2,0.2,0.2,0.9904772811936029,4.785482751527858e-27,0.0,0.0,0.009522718806397082,0.0,4
2023-07-27,-0.0021996210249719548,0.00490740499192753,0,5,0.2,0.2,0.2,0.2,0.2,0.9945054946861865,3.081506871740951e-79,0.0,0.0,0.005494505313813356,0.0,4
2023-07-28,0.00587471073628878,0.0018509300728880157,0,5,0.2,0.2,0.2,0.2,0.2,0.9943820066844062,0.005617993315593716,0.0,0.0,6.634596421942752e-88,0.0,4
2023-07-31,0.004493156712249391,0.0020834627436066427,0,5,0.2,0.2,0.2,0.2,0.2,0.9943820117741119,0.0056179882258880634,0.0,0.0,2.2716456275634802e-86,0.0,4
2023-08-01,-0.0036411044641443623,0.001955354727600403,0,5,0.2,0.2,0.2,0.2,0.2,0.9944437991266053,0.005556200873394674,0.0,0.0,1.5855388365238533e-61,0.0,4
2023-08-02,-0.0076274600625441565,0.0038433590345601926,0,5,0.2,0.2,0.2,0.2,0.2,0.9945054220548618,6.824527469624431e-61,0.0,0.0,0.005494577945138186,0.0,4
2023-08-03,0.002458888407902205,0.004130758269919502,1,5,0.2,0.2,0.2,0.2,0.2,0.007813029508763919,0.9843739393209571,0.0,0.0,0.007813031170278902,0.0,4
2023-08-04,0.002239358932086244,0.0027870334642695893,0,5,0.2,0.2,0.2,0.2,0.2,0.9943180398534752,1.9490519577847157e-53,0.0,0.0,0.005681960146524725,0.0,4
2023-08-07,0.0015465322190533648,0.001432557691804906,0,5,0.2,0.2,0.2,0.2,0.2,0.9944133950517732,0.0,0.0,0.0,0.005586604948226867,0.0,4
2023-08-08,-0.00010326468335355447,0.0021007230003860095,0,5,0.2,0.2,0.2,0.2,0.2,0.9942541506697073,2.652626615988371e-54,0.0,0.0,0.005745849330292634,0.0,4
2023-08-09,0.0007785401936335036,0.0026454189695855335,0,5,0.2,0.2,0.2,0.2,0.2,0.9943819976797874,0.005618002320212544,0.0,0.0,4.155120381200608e-92,0.0,4
2023-08-10,-0.00350545912769773,0.002309256716030786,1,5,0.2,0.2,0.2,0.2,0.2,0.010197382594680462,0.9694077785435798,0.0,0.0,0.020394838861739577,0.0,4
2023-08-11,-0.00018502974288656663,0.000665927811269798,0,5,0.2,0.2,0.2,0.2,0.2,0.9942217317996498,0.00577826820026613,0.0,0.0,1.473828709253247e-14,0.0,4
2023-08-14,-0.00014374137477100033,0.001858287411575718,0,5,0.2,0.2,0.2,0.2,0.2,0.9943823280536471,0.005617671946352775,0.0,0.0,1.7538485120735545e-72,0.0,4
2023-08-15,-0.006598423094845973,0.0029507810752710667,0,5,0.2,0.2,0.2,0.2,0.2,0.9760292737693443,0.00799017574793578,0.0,0.0,0.01598055048271983,0.0,4
2023-08-16,-0.006028169612581547,0.0025301657374194597,0,5,0.2,0.2,0.2,0.2,0.2,0.9943817844562799,0.005618215543720128,0.0,0.0,1.1749479496524115e-68,0.0,4
2023-08-17,-0.0004145168314099835,0.0018010031253543335,0,5,0.2,0.2,0.2,0.2,0.2,0.9942528608628296,1.1837108262656006e-25,0.0,0.0,0.005747139137170467,0.0,4
2023-08-18,0.0029472843421323174,0.001653640530809658,0,5,0.2,0.2,0.2,0.2,0.2,0.9891308328831826,2.1313366891924854e-43,0.0,0.0,0.01086916711681747,0.0,4
2023-08-21,5.085638573429916e-05,0.001824985228301268,0,5,0.2,0.2,0.2,0.2,0.2,0.9937773454151146,1.1548047651166083e-44,0.0,0.0,0.006222654584885286,0.0,4
2023-08-22,-0.00013640321684524893,0.001315625487107841,0,5,0.2,0.2,0.2,0.2,0.2,0.9943182095142031,0.005681790485796799,0.0,0.0,3.896962689703604e-77,0.0,4
2023-08-23,0.0028830831172938606,0.004399146669080464,3,5,0.2,0.2,0.2,0.2,0.2,0.0,0.012826225144294457,0.0,0.9743502192206728,0.01282355563503272,0.0,4
2023-08-24,-0.0015600305304328543,0.00261997851577514,0,5,0.2,0.2,0.2,0.2,0.2,0.9943543687507378,0.005645631249262301,0.0,0.0,1.8461176227148456e-66,0.0,4
2023-08-25,0.004188708338325142,0.002625600536416778,0,5,0.2,0.2,0.2,0.2,0.2,0.9944437964338154,0.0055562035661845454,0.0,0.0,3.56339792643567e-84,0.0,4
2023-08-28,0.0018198954185697502,0.0011831727343408205,0,5,0.2,0.2,0.2,0.2,0.2,0.9937961187574346,7.678404291248002e-30,0.0,0.0,0.006203881242565467,0.0,4
2023-08-29,0.007490583618252434,0.002810650370107609,0,5,0.2,0.2,0.2,0.2,0.2,0.991935451260244,1.6488913483240084e-35,0.0,0.0,0.008064548739756044,0.0,4
2023-08-30,0.00181686611270262,0.0011565006794512778,0,5,0.2,0.2,0.2,0.2,0.2,0.9943521926796658,0.005647807320334262,0.0,0.0,1.6760674484934263e-86,0.0,4
2023-08-31,0.004400681379432747,0.0029861147942332467,0,5,0.2,0.2,0.2,0.2,0.2,0.9837249636950904,4.5350909926987515e-27,0.0,0.0,0.016275036304909583,0.0,4
2023-09-01,0.00557198313742262,0.003924281520780684,0,5,0.2,0.2,0.2,0.2,0.2,0.9943075648823878,3.273576389830575e-36,0.0,0.0,0.00569243511761218,0.0,4
2023-09-05,-0.00038950984236070226,0.0033626967050455897,0,5,0.2,0.2,0.2,0.2,0.2,0.9936657693818888,5.424275177771632e-51,0.0,0.0,0.006334230618111233,0.0,4
2023-09-06,-0.0004327877751621577,0.002190735205383834,0,5,0.2,0.2,0.2,0.2,0.2,0.9939323120163616,5.736816759541509e-33,0.0,0.0,0.006067687983638406,0.0,4
2023-09-07,-0.0007524866291841903,0.001769415212813763,0,5,0.2,0.2,0.2,0.2,0.2,0.9944134074352006,0.005586592564799468,0.0,0.0,6.844867400645551e-77,0.0,4
2023-09-08,0.0015735435515130904,0.0005819254321046824,0,5,0.2,0.2,0.2,0.2,0.2,0.9837516523042079,0.008118244697603149,0.0,0.0,0.008130102998188914,0.0,4
2023-09-11,0.0006731858857412121,0.0014555558993318146,0,5,0.2,0.2,0.2,0.2,0.2,0.9861785769811848,2.58904745162178e-43,0.0,0.0,0.013821423018815207,0.0,4
2023-09-12,0.00163656179773497,0.00306320210805415,0,5,0.2,0.2,0.2,0.2,0.2,0.9943153581973606,6.707950377184963e-61,0.0,0.0,0.005684641802639367,0.0,4
2023-09-13,0.00014950781642735221,0.0005722736783648624,0,5,0.2,0.2,0.2,0.2,0.2,0.9942504629641135,1.8051685861816726e-32,0.0,0.0,0.005749537035886593,0.0,4
2023-09-14,0.006355940447687303,0.0027614238242586187,0,5,0.2,0.2,0.2,0.2,0.2,0.9889565575357127,7.11311297413175e-70,0.0,0.0,0.011043442464287394,0.0,4
2023-09-15,-0.0012853286268561528,0.002366223948687754,0,5,0.2,0.2,0.2,0.2,0.2,0.9945055111399458,6.9941037600271626e-37,0.0,0.0,0.005494488860054167,0.0,4
2023-09-18,0.0016374310500757436,0.0009129495671859611,0,5,0.2,0.2,0.2,0.2,0.2,0.9824223924482628,7.88376263200962e-38,0.0,0.0,0.017577607551737262,0.0,4
